indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
9060X,LALASTRA,910,ARABA/ALAVA,3944,5.242999234889059,16.432032644733486,2.065794819705434,2.0404737646459505,6.196776160126852,14
9069C,MIRANDA DE EBRO,460,BURGOS,3998,7.315369211514393,20.877541311967953,1.3998138792874237,1.955369211514393,6.562644855931494,12
9073X,"AGURAIN/SALVATIERRA, OPAKUA",660,ARABA/ALAVA,4001,7.275375375375376,17.43255755755756,2.449337665583604,2.6683537960410924,6.346049049905002,9
9091R,VITORIA-GASTEIZ AEROPUERTO,513,ARABA/ALAVA,4018,6.336318283861313,18.993840399002494,2.0002437703141926,3.3571286141575274,6.231388609833333,2
9111,BELORADO,820,BURGOS,3646,6.271609514983009,17.215873996294007,1.2433583959899748,2.233751175180194,6.442493648123287,258
9115X,VALDEZCARAY,1630,LA RIOJA,3996,4.5255873340143005,11.818105209397343,2.7119223895838647,3.216835443037975,6.836909011797363,74
9121X,HARO,465,LA RIOJA,3924,8.295531154239018,19.47655771195097,1.3154886450625158,,6.646809681734961,86
9122I,LABASTIDA,612,ARABA/ALAVA,3995,8.092995229726336,19.04612101431082,1.6791813159216473,2.257200504413619,6.596589868426128,12
9136X,"ANGUIANO, VALVANERA",1006,LA RIOJA,4013,5.82002997002997,16.437012987012988,2.3730491149339317,,6.479607900546512,7
9141V,NÁJERA,500,LA RIOJA,4018,7.9689465801298045,20.07883175237144,1.2011961126339397,1.847174508339557,6.753162913050406,3
9145X,LEZA,575,ARABA/ALAVA,4018,7.943462017434621,18.6880697384807,1.9019417475728155,,6.564398464567691,1
9145Y,CENICERO,429,LA RIOJA,4007,8.973019057171514,19.893488605058852,1.3053439018153925,2.4537615596100975,6.865717023268243,6
9170,"LOGROÑO, AEROPUERTO",353,LA RIOJA,4017,8.688481675392671,20.791081215744892,1.2834310069259456,2.8957153595590075,6.87115807974063,2
9171K,LOS ARCOS,470,NAVARRA,4006,8.502754131196795,20.657486229344016,1.3642659279778393,2.6285964035964033,6.841468641884124,6
9178X,CAMPEZO/KANPEZU,570,ARABA/ALAVA,3991,7.138314465408806,18.71242767295597,2.1176070528967252,,6.66587196017901,18
9188,ENCISO,855,LA RIOJA,3937,6.352547606793618,18.293504492939668,1.2189500640204864,3.452592592592593,6.455683055660214,33
9198X,CANFRANC,1197,HUESCA,4015,5.22002493765586,15.70009975062344,4.715328282828282,1.1034663341645885,6.788909906680565,4
9207,"VALLE DE HECHO, HECHO",860,HUESCA,3990,5.324466750313676,18.482308657465495,3.003344229318582,2.2039136979427996,6.677296684171646,22
